Wall time,Step,Value
1763173381.737469,133,-315.4849548339844
1763173417.5339282,423,-293.2679138183594
1763173434.057981,558,-317.6214599609375
1763173478.5795548,921,-305.7484130859375
1763173483.9668539,965,-309.8579406738281
1763173492.3806114,1035,-327.1662902832031
1763173514.5325778,1220,-329.8576354980469
1763173522.3049111,1283,-307.6572570800781
1763173563.4666336,1623,-304.0633544921875
1763173571.4206226,1690,-309.6142578125
1763173625.8070781,2141,-310.0132751464844
1763173647.1056128,2319,-310.9945068359375
1763173655.3134556,2389,-313.6758117675781
1763173657.7471406,2409,-307.4563903808594
1763173676.4956245,2563,-295.904052734375
1763173712.743478,2868,-332.20587158203125
1763173747.3842182,3155,-319.5939025878906
1763173776.9460254,3398,-307.99725341796875
1763173789.4332936,3499,-291.4775695800781
1763173797.718039,3567,-281.95867919921875
1763173822.8681676,3778,-318.7127990722656
1763173852.4145513,4023,-307.95574951171875
1763173866.4354665,4138,-331.9997253417969
1763173872.1067176,4185,-328.67938232421875
1763173874.8556342,4208,-320.4855651855469
1763173885.5074122,4296,-318.9621276855469
1763173906.790387,4474,-301.65313720703125
1763173929.1762614,4663,-316.6997375488281
1763173931.8724928,4686,-322.234130859375
1763173944.4151838,4789,-286.35235595703125
1763173974.5445328,5046,-309.35552978515625
1763173990.06985,5173,-290.7330017089844
1763174003.019902,5282,-306.443603515625
1763174043.3485818,5616,-334.91986083984375
1763174059.4989686,5748,-305.5527648925781
1763174073.2387552,5865,-310.6998596191406
1763174092.3405533,6027,-320.27020263671875
1763174102.8604405,6115,-317.5348205566406
1763174108.048102,6159,-313.12261962890625
1763174158.6725078,6580,-277.7357482910156
1763174172.1364841,6693,-319.10223388671875
1763174187.6084247,6823,-298.4481506347656
1763174201.3405092,6937,-331.331298828125
1763174206.7636151,6981,-315.05682373046875
1763174228.919541,7169,-314.2542419433594
1763174231.872278,7193,-312.67303466796875
1763174261.0544055,7436,-313.0121154785156
1763174285.5322819,7644,-323.0507507324219
1763174306.3462474,7819,-309.024658203125
1763174348.1503546,8164,-288.2073669433594
1763174358.7547686,8252,-287.4051208496094
1763174385.47751,8476,-311.5625305175781
1763174502.009973,9449,-331.5611572265625
1763174504.598628,9471,-327.6191101074219
1763174549.9419146,9851,-312.1350402832031
1763174555.3924425,9897,-317.2492370605469
1763174558.289382,9921,-331.1632385253906
1763174566.3724482,9990,-317.75823974609375
1763174582.4796698,10125,-307.3675842285156
1763174605.7840047,10317,-281.84332275390625
1763174613.5979772,10382,-295.90362548828125
1763174616.4459176,10406,-307.0478515625
1763174642.5495663,10622,-293.742431640625
1763174687.623449,11001,-329.9339294433594
1763174692.989947,11045,-330.2393798828125
1763174744.0235615,11471,-317.23309326171875
1763174748.7341478,11510,-306.3067626953125
1763174757.2358308,11580,-314.9381103515625
1763174779.1211798,11766,-326.68133544921875
1763174794.4174764,11895,-308.4429931640625
1763174800.187466,11941,-309.0950927734375
1763174808.2114701,12007,-317.9165954589844
1763174823.805577,12136,-296.736083984375
1763174836.589119,12240,-286.8355407714844
1763174862.728311,12454,-296.2735290527344
1763174878.800574,12588,-317.3654479980469
1763174895.259338,12724,-313.49102783203125
1763174906.0350082,12814,-325.0123291015625
1763174921.08611,12941,-303.9082336425781
1763174926.5592363,12988,-310.8396301269531
1763174934.5969536,13056,-309.040283203125
1763174940.3275907,13104,-337.2760009765625
1763174943.0069735,13126,-330.9056396484375
1763174956.791215,13242,-332.7733459472656
1763174959.6643472,13267,-336.6707458496094
1763174983.473563,13467,-323.0369873046875
1763175018.5728042,13760,-307.7376708984375
1763175032.217637,13874,-320.1356506347656
1763175037.1229625,13914,-303.1923828125
1763175069.7497559,14184,-297.7485656738281
1763175088.413724,14341,-317.58746337890625
1763175091.332476,14364,-327.5486145019531
1763175097.130212,14413,-336.8906555175781
1763175105.1870584,14480,-324.9521179199219
1763175110.2172747,14522,-298.9985656738281
1763175142.8438163,14793,-325.0029296875
1763175150.6904871,14858,-307.38739013671875
1763175161.428759,14946,-294.66455078125
1763175169.8940659,15017,-290.62615966796875
1763175177.7796676,15084,-300.5655212402344
1763175189.3441615,15180,-325.7264404296875
1763175191.9149752,15201,-320.7419128417969
1763175202.0952404,15285,-298.9996337890625
1763175215.4121687,15394,-303.1729736328125
1763175262.5382254,15786,-313.33392333984375
1763175284.6441875,15976,-324.8901672363281
1763175295.776143,16067,-326.8783874511719
1763175307.3975992,16165,-325.2351379394531
1763175310.124715,16189,-320.98089599609375
1763175328.6411486,16343,-305.03424072265625
1763175354.4046502,16561,-330.7353820800781
1763175365.8525195,16659,-345.66644287109375
1763175376.7560859,16751,-326.2041931152344
1763175389.9697218,16860,-314.2430419921875
1763175400.6729486,16948,-286.706787109375
1763175424.6848252,17150,-325.5451965332031
1763175435.38962,17239,-309.9033508300781
1763175437.7127554,17258,-315.61279296875
1763175440.1349847,17277,-303.1697692871094
1763175445.6412303,17323,-298.0355529785156
1763175448.262042,17345,-293.43450927734375
1763175464.7024548,17481,-327.931396484375
